name,kind
Majorca Mastiff,dog
Havanese,dog
Polish Lowland Sheepdog,dog
Tatra Shepherd Dog,dog
Pug,dog
Alpine Dachsbracke,dog
Akita,dog
Shiba,dog
Japanese Terrier,dog
Tosa,dog
Hokkaido,dog
Japanese Spitz,dog
Chesapeake Bay Retriever,dog
Mastiff,dog
Norwegian Lundehund,dog
Hygen Hound,dog
Halden Hound,dog
Norwegian Elkhound Black,dog
Saluki,dog
Siberian Husky,dog
Bearded Collie,dog
Norfolk Terrier,dog
Canaan Dog,dog
Greenland Dog,dog
Brazilian Tracker,dog
Norrbottenspitz,dog
Croatian Shepherd Dog,dog
Karst Shepherd Dog,dog
Montenegrin Mountain Hound,dog
Old Danish Pointing Dog,dog
Grand Griffon Vendeen,dog
Coton De Tulear,dog
Lapponian Herder,dog
Spanish Greyhound,dog
American Staffordshire Terrier,dog
Australian Cattle Dog,dog
Chinese Crested Dog,dog
Icelandic Sheepdog,dog
Beagle Harrier,dog
Eurasian,dog
Dogo Argentino,dog
Australian Kelpie,dog
Otterhound,dog
Harrier,dog
Collie Smooth,dog
Border Collie,dog
Romagna Water Dog,dog
German Hound,dog
Black And Tan Coonhound,dog
American Water Spaniel,dog
Irish Glen Of Imaal Terrier,dog
American Foxhound,dog
Russian-European Laika,dog
East Siberian Laika,dog
West Siberian Laika,dog
Azawakh,dog
Dutch Smoushond,dog
Shar Pei,dog
Peruvian Hairless Dog,dog
Saarloos Wolfhond,dog
Nova Scotia Duck Tolling Retriever,dog
Dutch Schapendoes,dog
Nederlandse Kooikerhondje,dog
Broholmer,dog
French White And Orange Hound,dog
Kai,dog
Kishu,dog
Shikoku,dog
Wirehaired Slovakian Pointer,dog
Majorca Shepherd Dog,dog
Great Anglo-French Tricolour Hound,dog
Great Anglo-French White And Black Hound,dog
Great Anglo-French White & Orange Hound,dog
Medium-Sized Anglo-French Hound,dog
South Russian Shepherd Dog,dog
Russian Black Terrier,dog
Caucasian Shepherd Dog,dog
Canarian Warren Hound,dog
Irish Red And White Setter,dog
Kangal Shepherd Dog,dog
Czechoslovakian Wolfdog,dog
Polish Greyhound,dog
Korea Jindo Dog,dog
Central Asia Shepherd Dog,dog
Spanish Water Dog,dog
Italian Short-Haired Segugio,dog
Thai Ridgeback Dog,dog
Parson Russell Terrier,dog
Saint Miguel Cattle Dog,dog
Brazilian Terrier,dog
Australian Shepherd,dog
Italian Cane Corso,dog
American Akita,dog
Jack Russell Terrier,dog
Presa Canario,dog
White Swiss Shepherd Dog,dog
Taiwan Dog,dog
Romanian Mioritic Shepherd Dog,dog
Romanian Carpathian Shepherd Dog,dog
Australian Stumpy Tail Cattle Dog,dog
Russian Toy,dog
Cimarrón Uruguayo,dog
Polish Hunting Dog,dog
Bosnian And Herzegovinian - Croatian Shepherd Dog,dog
Danish-Swedish Farmdog,dog
Romanian Bucovina Shepherd,dog
Thai Bangkaew Dog,dog
Miniature Bull Terrier,dog
Lancashire Heeler,dog
Segugio Maremmano,dog
Kintamani-Bali Dog,dog
Prague Ratter,dog
Bohemian Shepherd Dog,dog
Yakutian Laika,dog
Estonian Hound,dog
Miniature American Shepherd,dog
Transmontano Mastiff,dog
Continental Bulldog,dog
Valencian Terrier,dog
Alaskan Klee Kai,dog
American Bulldog,dog
American Eskimo Dog,dog
American Hairless Terrier,dog
American Pit Bull Terrier,dog
Anatolian Shepherd Dog,dog
Appenzeller Sennenhund,dog
Ariégeois,dog
Austrian Pinscher,dog
Barbet,dog
Basset Artésien Normand,dog
Basset Bleu de Gascogne,dog
Bavarian Mountain Hound,dog
Beauceron,dog
Belgian Malinois,dog
Belgian Sheepdog,dog
Belgian Tervuren,dog
Bergamasco Sheepdog,dog
Berger Blanc Suisse,dog
Berger Picard,dog
Biewer Terrier,dog
Black Mouth Cur,dog
Black Russian Terrier,dog
Bluetick Coonhound,dog
Boerboel,dog
Borzoi,dog
Boykin Spaniel,dog
Braque Francais,dog
Braque du Bourbonnais,dog
Brittany,dog
Brussels Griffon,dog
Bulldog (English),dog
Cane Corso,dog
Cardigan Welsh Corgi,dog
Carolina Dog,dog
Carpathian Shepherd Dog,dog
Catahoula Leopard Dog,dog
Central Asian Shepherd Dog,dog
Chinese Crested,dog
Chinese Shar-Pei,dog
Chinook,dog
Cocker Spaniel,dog
Collie (Rough & Smooth),dog
Croatian Sheepdog,dog
Curly-Coated Retriever,dog
Doberman Pinscher,dog
Drentsche Patrijshond,dog
Dutch Shepherd,dog
East European Shepherd,dog
English Shepherd,dog
English Toy Spaniel,dog
English Toy Terrier (Black & Tan),dog
Entlebucher Mountain Dog,dog
Eurasier,dog
Finnish Lapphund,dog
Flat-Coated Retriever,dog
Galgo Español,dog
German Longhaired Pointer,dog
German Shorthaired Pointer,dog
German Spaniel (Wachtelhund),dog
German Wirehaired Pointer,dog
Glen of Imaal Terrier,dog
Grand Bleu de Gascogne,dog
Great Pyrenees,dog
Greater Swiss Mountain Dog,dog
Hanover Hound,dog
Ibizan Hound,dog
Irish Setter,dog
Istrian Coarse-haired Hound,dog
Istrian Shorthaired Hound,dog
Italian Greyhound,dog
Jagdterrier,dog
Jindo,dog
Kai Ken,dog
Karst Shepherd,dog
Keeshond,dog
Kishu Ken,dog
Lagotto Romagnolo,dog
Landseer,dog
Lowchen,dog
Magyar Agár,dog
Maremma Sheepdog,dog
Moscow Watchdog,dog
Mountain Cur,dog
Munsterlander (Large),dog
Munsterlander (Small),dog
New Guinea Singing Dog,dog
Norrbottenspets,dog
Norwegian Elkhound,dog
Norwegian Hound (Dunker),dog
Papillon,dog
Patterdale Terrier,dog
Pembroke Welsh Corgi,dog
Peruvian Inca Orchid,dog
Plott Hound,dog
Pointer,dog
Polish Tatra Sheepdog,dog
Pomeranian,dog
"Poodle (Toy, Miniature, Standard)",dog
Portuguese Podengo,dog
Pyrenean Shepherd,dog
Queensland Heeler (Australian Cattle Dog),dog
Rafeiro do Alentejo,dog
Rat Terrier,dog
Redbone Coonhound,dog
Russell Terrier,dog
Russo-European Laika,dog
Saarloos Wolfdog,dog
Sabueso Español,dog
Saint Bernard,dog
Schapendoes,dog
Schweizer Laufhund,dog
Scottish Deerhound,dog
Shiba Inu,dog
Shiloh Shepherd,dog
Silken Windhound,dog
Silky Terrier,dog
Slovak Rough-haired Pointer,dog
Slovensky Cuvac,dog
Slovensky Kopov,dog
Smaland Hound,dog
Soft Coated Wheaten Terrier,dog
Spinone Italiano,dog
Stabyhoun,dog
Standard Schnauzer,dog
Styrian Coarse-haired Hound,dog
Thai Ridgeback,dog
Tornjak,dog
Tosa Inu,dog
Toy Fox Terrier,dog
Transylvanian Hound,dog
Treeing Tennessee Brindle,dog
Treeing Walker Coonhound,dog
Utonagan,dog
Vizsla,dog
Volpino Italiano,dog
Wetterhoun,dog
Wirehaired Pointing Griffon,dog
Wirehaired Vizsla,dog
Xoloitzcuintli (Mexican Hairless Dog),dog
Yugoslavian Shepherd Dog,dog
Zwergpinscher (Miniature Pinscher),dog
Zwergschnauzer (Miniature Schnauzer),dog
Abyssinian,cat
Aegean,cat
American Bobtail,cat
American Curl,cat
American Shorthair,cat
American Wirehair,cat
Aphrodite Giant,cat
Arabian Mau,cat
Asian,cat
Asian Semi-longhair (Tiffanie),cat
Australian Mist,cat
Balinese,cat
Bambino,cat
Bengal,cat
Birma (Birman),cat
Bombay,cat
British Longhair,cat
British Shorthair,cat
Burmese,cat
Burmilla,cat
California Spangled,cat
Ceylon,cat
Chantilly-Tiffany,cat
Chartreux,cat
Chausie,cat
Cheetoh,cat
Colorpoint Shorthair,cat
Cornish Rex,cat
Cymric,cat
Devon Rex,cat
Don Sphynx (Donskoy),cat
Dragon Li (Li Hua),cat
Dwelf,cat
Egyptian Mau,cat
European Shorthair,cat
Exotic Shorthair,cat
